epoch,accuracy,loss,val_accuracy,val_loss
0,0.3293580114841461,1.771763563156128,0.37628865242004395,1.920676589012146
1,0.44265440106391907,1.4924795627593994,0.4830036163330078,1.4334162473678589
2,0.4927991032600403,1.3676823377609253,0.4867651164531708,1.4450016021728516
3,0.5201729536056519,1.2873464822769165,0.5129562616348267,1.3334035873413086
4,0.5375736355781555,1.2421743869781494,0.5069657564163208,1.309456467628479
5,0.5451058149337769,1.2147949934005737,0.5238227844238281,1.2528181076049805
6,0.5545210242271423,1.183905839920044,0.4994427561759949,1.348179817199707
7,0.5646336674690247,1.1626390218734741,0.5589300394058228,1.1986603736877441
8,0.5762109160423279,1.1390138864517212,0.5656171441078186,1.2316491603851318
9,0.5836732983589172,1.1204183101654053,0.5794093012809753,1.1480846405029297
10,0.5883460640907288,1.1073888540267944,0.5596266388893127,1.2155388593673706
11,0.5897409319877625,1.096999168395996,0.5834494233131409,1.1256474256515503
12,0.5966454148292542,1.0854339599609375,0.5713290572166443,1.1971181631088257
13,0.60009765625,1.0733160972595215,0.5724436044692993,1.159349799156189
14,0.6278550624847412,1.0091562271118164,0.6178601384162903,1.034835696220398
15,0.6328765153884888,0.9931581020355225,0.6177208423614502,1.0408439636230469
16,0.6360498070716858,0.977948784828186,0.6219002604484558,1.0254536867141724
17,0.6362590193748474,0.9789860248565674,0.6220395565032959,1.026482343673706
18,0.6389092206954956,0.9731450080871582,0.6198105216026306,1.030596137046814
19,0.6407225131988525,0.9681400060653687,0.6224575042724609,1.0206935405731201
20,0.640861988067627,0.9655764102935791,0.6223182082176208,1.0203794240951538
21,0.6453604102134705,0.9655654430389404,0.6234326958656311,1.0181418657302856
22,0.6436168551445007,0.9585480690002441,0.623572051525116,1.0192378759384155
23,0.6437911987304688,0.95896977186203,0.6255224347114563,1.0190837383270264
24,0.6444886326789856,0.9603442549705505,0.6249651908874512,1.0187357664108276
25,0.6433029770851135,0.9615528583526611,0.6245472431182861,1.0191570520401
26,0.6458834409713745,0.9581689238548279,0.6249651908874512,1.0188504457473755
27,0.6469296216964722,0.9536699056625366,0.6245472431182861,1.0189324617385864
28,0.647382915019989,0.9582204818725586,0.6251044869422913,1.01917564868927
29,0.6414896845817566,0.962736964225769,0.6244078874588013,1.0189361572265625
30,0.6442444920539856,0.9582969546318054,0.6245472431182861,1.01922607421875
31,0.6425706744194031,0.9595297574996948,0.6234326958656311,1.0189917087554932
